report_id,report_name,topic,json_path,file_path,pages,text_length
WFP_2025_Global_Outlook,WFP_2025_Global_Outlook.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_2025_Global_Outlook.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/WFP_2025_Global_Outlook.pdf,2,3590
Audited_Annual_Accounts,Audited_Annual_Accounts.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Audited_Annual_Accounts.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Audited_Annual_Accounts.pdf,223,521502
Annual_Country_Reports_Cameroon,Annual_Country_Reports_Cameroon.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_Country_Reports_Cameroon.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_Country_Reports_Cameroon.pdf,8,9492
Annual_country_reports_-_Benin_-_2024_BJ03,Annual_country_reports_-_Benin_-_2024_BJ03.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Benin_-_2024_BJ03.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Benin_-_2024_BJ03.pdf,59,145357
WFP_Annual_Report_on_Flexible_Funding_2024,WFP_Annual_Report_on_Flexible_Funding_2024.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_Annual_Report_on_Flexible_Funding_2024.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/WFP_Annual_Report_on_Flexible_Funding_2024.pdf,44,64638
Hurricane_Beryl_Jamaica_Cash_Assistance_Report_Aug,Hurricane_Beryl_Jamaica_Cash_Assistance_Report_Aug.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Hurricane_Beryl_Jamaica_Cash_Assistance_Report_Aug.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Hurricane_Beryl_Jamaica_Cash_Assistance_Report_Aug.pdf,34,62616
Annual_country_reports_-_Armenia_-_2024_AM02,Annual_country_reports_-_Armenia_-_2024_AM02.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Armenia_-_2024_AM02.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Armenia_-_2024_AM02.pdf,60,131741
Annual_country_reports_-_Burkina_Faso_-_2023_BF02,Annual_country_reports_-_Burkina_Faso_-_2023_BF02.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Burkina_Faso_-_2023_BF02.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Burkina_Faso_-_2023_BF02.pdf,102,267556
Annual_country_reports_-_Central_African_Republic_-_2024_CF02,Annual_country_reports_-_Central_African_Republic_-_2024_CF02.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Central_African_Republic_-_2024_CF02.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Central_African_Republic_-_2024_CF02.pdf,80,197336
Annual_country_reports_-_Central_African_Republic_-_2023_CF01,Annual_country_reports_-_Central_African_Republic_-_2023_CF01.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Central_African_Republic_-_2023_CF01.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Central_African_Republic_-_2023_CF01.pdf,79,184594
Annual_country_reports_-_Armenia_-_2023_AM02,Annual_country_reports_-_Armenia_-_2023_AM02.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Armenia_-_2023_AM02.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Armenia_-_2023_AM02.pdf,60,143325
Annual_country_reports_-_Burkina_Faso_-_2024_BF02,Annual_country_reports_-_Burkina_Faso_-_2024_BF02.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Burkina_Faso_-_2024_BF02.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Burkina_Faso_-_2024_BF02.pdf,113,308777
Annual_country_reports_-_Algeria_-_2023_DZ02,Annual_country_reports_-_Algeria_-_2023_DZ02.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Algeria_-_2023_DZ02.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Algeria_-_2023_DZ02.pdf,56,124295
Annual_country_reports_-_Chad_-_2024_TD01,Annual_country_reports_-_Chad_-_2024_TD01.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Chad_-_2024_TD01.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Chad_-_2024_TD01.pdf,99,224344
Annual_country_reports_-_Chad_-_2024_TD02,Annual_country_reports_-_Chad_-_2024_TD02.pdf,Funding_and_donors,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Annual_country_reports_-_Chad_-_2024_TD02.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Funding_and_donors/Annual_country_reports_-_Chad_-_2024_TD02.pdf,86,207231
DRC_WFP_UNHAS_Flash_Appeal_May_2024,DRC_WFP_UNHAS_Flash_Appeal_May_2024.pdf,UN_Humanitarian_Air_Service,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/DRC_WFP_UNHAS_Flash_Appeal_May_2024.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/UN_Humanitarian_Air_Service/DRC_WFP_UNHAS_Flash_Appeal_May_2024.pdf,2,3196
United_Nations_Humanitarian_Air_Service_UNHAS_2020,United_Nations_Humanitarian_Air_Service_UNHAS_2020.pdf,UN_Humanitarian_Air_Service,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/United_Nations_Humanitarian_Air_Service_UNHAS_2020.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/UN_Humanitarian_Air_Service/United_Nations_Humanitarian_Air_Service_UNHAS_2020.pdf,36,71251
UNHAS_Chad_Monthly_Reports_2024,UNHAS_Chad_Monthly_Reports_2024.pdf,UN_Humanitarian_Air_Service,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/UNHAS_Chad_Monthly_Reports_2024.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/UN_Humanitarian_Air_Service/UNHAS_Chad_Monthly_Reports_2024.pdf,1,2513
WFP_Regional_Bureau_for_Eastern_Africa_Breakthroug,WFP_Regional_Bureau_for_Eastern_Africa_Breakthroug.pdf,UN_Humanitarian_Air_Service,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_Regional_Bureau_for_Eastern_Africa_Breakthroug.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/UN_Humanitarian_Air_Service/WFP_Regional_Bureau_for_Eastern_Africa_Breakthroug.pdf,4,2763
Emergency_Preparedness_and_Response_in_Madagascar,Emergency_Preparedness_and_Response_in_Madagascar.pdf,UN_Humanitarian_Air_Service,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Emergency_Preparedness_and_Response_in_Madagascar.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/UN_Humanitarian_Air_Service/Emergency_Preparedness_and_Response_in_Madagascar.pdf,3,7955
United_Nations_Humanitarian_Air_Service_UNHAS_Annu,United_Nations_Humanitarian_Air_Service_UNHAS_Annu.pdf,UN_Humanitarian_Air_Service,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/United_Nations_Humanitarian_Air_Service_UNHAS_Annu.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/UN_Humanitarian_Air_Service/United_Nations_Humanitarian_Air_Service_UNHAS_Annu.pdf,92,130008
WFP_UNHAS_Flash_appeal_Haiti_February_2025,WFP_UNHAS_Flash_appeal_Haiti_February_2025.pdf,UN_Humanitarian_Air_Service,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_UNHAS_Flash_appeal_Haiti_February_2025.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/UN_Humanitarian_Air_Service/WFP_UNHAS_Flash_appeal_Haiti_February_2025.pdf,2,6145
Regional_Office_for_Eastern_and_Southern_Africa_No,Regional_Office_for_Eastern_and_Southern_Africa_No.pdf,UN_Humanitarian_Air_Service,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Regional_Office_for_Eastern_and_Southern_Africa_No.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/UN_Humanitarian_Air_Service/Regional_Office_for_Eastern_and_Southern_Africa_No.pdf,56,64565
UNHAS_Annual_Review_2024_Facilitating_global_human,UNHAS_Annual_Review_2024_Facilitating_global_human.pdf,UN_Humanitarian_Air_Service,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/UNHAS_Annual_Review_2024_Facilitating_global_human.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/UN_Humanitarian_Air_Service/UNHAS_Annual_Review_2024_Facilitating_global_human.pdf,110,128001
WFP_Seasonal_Bulletin_Impact_Monitoring_of_Hydrome,WFP_Seasonal_Bulletin_Impact_Monitoring_of_Hydrome.pdf,Seasonal_and_agricultural_monitoring,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_Seasonal_Bulletin_Impact_Monitoring_of_Hydrome.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Seasonal_and_agricultural_monitoring/WFP_Seasonal_Bulletin_Impact_Monitoring_of_Hydrome.pdf,16,21792
WFP_Seasonal_Monitoring_Bulletin_April_June_Q2_202,WFP_Seasonal_Monitoring_Bulletin_April_June_Q2_202.pdf,Seasonal_and_agricultural_monitoring,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_Seasonal_Monitoring_Bulletin_April_June_Q2_202.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Seasonal_and_agricultural_monitoring/WFP_Seasonal_Monitoring_Bulletin_April_June_Q2_202.pdf,22,24996
Special_Report_2024_FAO_WFP_Crop_and_Food_Security,Special_Report_2024_FAO_WFP_Crop_and_Food_Security.pdf,Seasonal_and_agricultural_monitoring,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Special_Report_2024_FAO_WFP_Crop_and_Food_Security.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Seasonal_and_agricultural_monitoring/Special_Report_2024_FAO_WFP_Crop_and_Food_Security.pdf,86,218149
Indonesia_WFP_Seasonal_Monitoring_Bulletin_July_Se,Indonesia_WFP_Seasonal_Monitoring_Bulletin_July_Se.pdf,Seasonal_and_agricultural_monitoring,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Indonesia_WFP_Seasonal_Monitoring_Bulletin_July_Se.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Seasonal_and_agricultural_monitoring/Indonesia_WFP_Seasonal_Monitoring_Bulletin_July_Se.pdf,22,26085
WFP_Seasonal_Monitoring_Bulletin_January_March_Q1_,WFP_Seasonal_Monitoring_Bulletin_January_March_Q1_.pdf,Seasonal_and_agricultural_monitoring,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/WFP_Seasonal_Monitoring_Bulletin_January_March_Q1_.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Seasonal_and_agricultural_monitoring/WFP_Seasonal_Monitoring_Bulletin_January_March_Q1_.pdf,21,28471
Indonesia_WFP_Seasonal_Monitoring_Bulletin_October,Indonesia_WFP_Seasonal_Monitoring_Bulletin_October.pdf,Seasonal_and_agricultural_monitoring,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Indonesia_WFP_Seasonal_Monitoring_Bulletin_October.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Seasonal_and_agricultural_monitoring/Indonesia_WFP_Seasonal_Monitoring_Bulletin_October.pdf,19,21151
Price_monitoring_for_food_security_in_the_Kyrgyz_R,Price_monitoring_for_food_security_in_the_Kyrgyz_R.pdf,Seasonal_and_agricultural_monitoring,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Price_monitoring_for_food_security_in_the_Kyrgyz_R.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Seasonal_and_agricultural_monitoring/Price_monitoring_for_food_security_in_the_Kyrgyz_R.pdf,5,10942
Nutrition_at_the_Heart_of_WFP_s_Work_in_Madagascar,Nutrition_at_the_Heart_of_WFP_s_Work_in_Madagascar.pdf,Specialized_nutritious_food,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Nutrition_at_the_Heart_of_WFP_s_Work_in_Madagascar.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Specialized_nutritious_food/Nutrition_at_the_Heart_of_WFP_s_Work_in_Madagascar.pdf,3,7904
Managing_the_Supply_Chain_of_Specialized_Nutritiou,Managing_the_Supply_Chain_of_Specialized_Nutritiou.pdf,Specialized_nutritious_food,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Managing_the_Supply_Chain_of_Specialized_Nutritiou.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Specialized_nutritious_food/Managing_the_Supply_Chain_of_Specialized_Nutritiou.pdf,128,246317
Nutritional_Guidance_for_Complementary_Food,Nutritional_Guidance_for_Complementary_Food.pdf,Specialized_nutritious_food,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Nutritional_Guidance_for_Complementary_Food.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Specialized_nutritious_food/Nutritional_Guidance_for_Complementary_Food.pdf,0,0
Revised_Corporate_Results_Framework_2017_2021_,Revised_Corporate_Results_Framework_2017_2021_.pdf,Executive_Board,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Revised_Corporate_Results_Framework_2017_2021_.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Executive_Board/Revised_Corporate_Results_Framework_2017_2021_.pdf,40,95308
Supporting_Social_Protection_Systems_in_the_Sahel_,Supporting_Social_Protection_Systems_in_the_Sahel_.pdf,Country_Capacity_Strengthening,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Supporting_Social_Protection_Systems_in_the_Sahel_.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Country_Capacity_Strengthening/Supporting_Social_Protection_Systems_in_the_Sahel_.pdf,17,46811
Evaluation_of_T_rkiye_WFP_Country_Strategic_Plans_,Evaluation_of_T_rkiye_WFP_Country_Strategic_Plans_.pdf,Country_Capacity_Strengthening,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Evaluation_of_T_rkiye_WFP_Country_Strategic_Plans_.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Country_Capacity_Strengthening/Evaluation_of_T_rkiye_WFP_Country_Strategic_Plans_.pdf,74,232600
Evaluation_of_Sierra_Leone_WFP_Country_Strategic_P,Evaluation_of_Sierra_Leone_WFP_Country_Strategic_P.pdf,Country_Capacity_Strengthening,/Users/madhu/Desktop/WFP/wfp-taxonomy-analysis/py files/extracted/Evaluation_of_Sierra_Leone_WFP_Country_Strategic_P.json,/Users/madhu/Desktop/WFP/wfp_reports/wfp_reports/Country_Capacity_Strengthening/Evaluation_of_Sierra_Leone_WFP_Country_Strategic_P.pdf,111,316941
