report_id,topic_rank,topic,similarity
2021_Agricultural_Insurance_Digital_Payments_Chall,2,Climate_change_adaptation,0.499
2021_Agricultural_Insurance_Digital_Payments_Chall,3,Partnerships,0.4852
2021_Agricultural_Insurance_Digital_Payments_Chall,4,Climate_risk_management_insurance_and_financing,0.4837
2021_Agricultural_Insurance_Digital_Payments_Chall,5,Programme_design,0.4734
2021_Agricultural_Insurance_Digital_Payments_Chall,6,Information_Technology_and_Telecommunications_in_Emergencies,0.4702
2021_Agricultural_Insurance_Digital_Payments_Chall,7,Cash_transfers,0.4524
2021_Agricultural_Insurance_Digital_Payments_Chall,8,Seasonal_and_agricultural_monitoring,0.452
2021_Agricultural_Insurance_Digital_Payments_Chall,9,Procurement,0.4407
2021_Agricultural_Insurance_Digital_Payments_Chall,10,Resilience_building,0.4304
2021_Protection_and_Accountability_Handbook,1,Food_security_analysis,0.7187
2021_Protection_and_Accountability_Handbook,2,Sustainable_development_goals,0.7182
2021_Protection_and_Accountability_Handbook,3,Country_strategic_planning,0.6625
2021_Protection_and_Accountability_Handbook,4,Food_Assistance,0.6551
2021_Protection_and_Accountability_Handbook,5,Energy_for_food_security,0.6465
2021_Protection_and_Accountability_Handbook,6,Humanitarian_Support_and_Services,0.6331
2021_Protection_and_Accountability_Handbook,7,Analyses_and_assessments,0.6179
2021_Protection_and_Accountability_Handbook,8,Climate_change_adaptation,0.617
2021_Protection_and_Accountability_Handbook,9,Cash_transfers,0.613
2021_Protection_and_Accountability_Handbook,10,Social_Protection_and_Safety_Nets,0.6093
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,1,Seasonal_and_agricultural_monitoring,0.5771
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,2,Climate_risk_management_insurance_and_financing,0.496
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,3,Smallholder_agricultural_market_support,0.474
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,4,Climate_services,0.4683
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,5,Food_security_analysis,0.4455
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,6,Energy_for_food_security,0.4436
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,7,Food_Assistance_for_Assets,0.4269
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,8,Food_safety_and_quality,0.4255
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,9,Climate_change_adaptation,0.4196
2021_Technical_Report_on_Zambia_s_Farmer_Input_Sup,10,The_R4_Rural_Resilience_Initiative,0.4149
2021_WFP_Community_Engagement_Strategy_for_Account,1,Humanitarian_Support_and_Services,0.5996
2021_WFP_Community_Engagement_Strategy_for_Account,2,Food_safety_and_quality,0.5726
2021_WFP_Community_Engagement_Strategy_for_Account,3,Food_security_analysis,0.5699
2021_WFP_Community_Engagement_Strategy_for_Account,4,Partnerships,0.5623
2021_WFP_Community_Engagement_Strategy_for_Account,5,Social_Protection_and_Safety_Nets,0.547
2021_WFP_Community_Engagement_Strategy_for_Account,6,Environmental_and_social_sustainability,0.5446
2021_WFP_Community_Engagement_Strategy_for_Account,7,Monitoring_evaluation_and_learning,0.5272
2021_WFP_Community_Engagement_Strategy_for_Account,8,Emergency_Preparedness_and_Response,0.5221
2021_WFP_Community_Engagement_Strategy_for_Account,9,Energy_for_food_security,0.5134
2021_WFP_Community_Engagement_Strategy_for_Account,10,Governance_and_leadership,0.5076
2022_Economic_Impact_Assessment_of_World_Food_Prog,1,Procurement,0.6907
2022_Economic_Impact_Assessment_of_World_Food_Prog,2,Logistics_and_delivery_networks,0.5635
2022_Economic_Impact_Assessment_of_World_Food_Prog,3,Climate_change_adaptation,0.556
2022_Economic_Impact_Assessment_of_World_Food_Prog,4,Cash_transfers,0.5445
2022_Economic_Impact_Assessment_of_World_Food_Prog,5,Country_Capacity_Strengthening,0.5278
2022_Economic_Impact_Assessment_of_World_Food_Prog,6,Humanitarian_Support_and_Services,0.5259
2022_Economic_Impact_Assessment_of_World_Food_Prog,7,Climate_action,0.5216
2022_Economic_Impact_Assessment_of_World_Food_Prog,8,UN_Humanitarian_Air_Service,0.4715
2022_Economic_Impact_Assessment_of_World_Food_Prog,9,Private_sector,0.4698
2022_Economic_Impact_Assessment_of_World_Food_Prog,10,Environmental_and_social_sustainability,0.4693
2022_Linking_Nutrition_and_Social_Protection_in_We,1,Nutrition,0.6513
2022_Linking_Nutrition_and_Social_Protection_in_We,2,Social_Protection_and_Safety_Nets,0.6038
2022_Linking_Nutrition_and_Social_Protection_in_We,3,Food_security_analysis,0.6036
2022_Linking_Nutrition_and_Social_Protection_in_We,4,Food_fortification,0.583
2022_Linking_Nutrition_and_Social_Protection_in_We,5,School_meals,0.5785
2022_Linking_Nutrition_and_Social_Protection_in_We,6,Energy_for_food_security,0.5463
2022_Linking_Nutrition_and_Social_Protection_in_We,7,Specialized_nutritious_food,0.543
2022_Linking_Nutrition_and_Social_Protection_in_We,8,Programme_design,0.5411
2022_Linking_Nutrition_and_Social_Protection_in_We,9,Cash_transfers,0.5327
2022_Linking_Nutrition_and_Social_Protection_in_We,10,The_R4_Rural_Resilience_Initiative,0.5247
2022_Procurement_Infographic,1,Market_analysis,0.4044
2022_Procurement_Infographic,2,Engineering_services,0.3595
2022_Procurement_Infographic,3,Private_sector,0.3349
2022_Procurement_Infographic,4,Supply_chain,0.3194
2022_Procurement_Infographic,5,Logistics_and_delivery_networks,0.3067
2022_Procurement_Infographic,6,Rome_based_agencies,0.2799
2022_Procurement_Infographic,7,Procurement,0.272
2022_Procurement_Infographic,8,Climate_services,0.2681
2022_Procurement_Infographic,9,In_kind_food_distribution,0.2653
2022_Procurement_Infographic,10,Corporate_strategy,0.2513
2022_Western_Africa_Annual_Achievements,1,Country_Capacity_Strengthening,0.7107
2022_Western_Africa_Annual_Achievements,2,Food_security_analysis,0.6731
2022_Western_Africa_Annual_Achievements,3,School_meals,0.6578
2022_Western_Africa_Annual_Achievements,4,Funding_and_donors,0.6309
2022_Western_Africa_Annual_Achievements,5,Resilience_building,0.6226
2022_Western_Africa_Annual_Achievements,6,The_R4_Rural_Resilience_Initiative,0.6201
2022_Western_Africa_Annual_Achievements,7,Food_safety_and_quality,0.6036
2022_Western_Africa_Annual_Achievements,8,Humanitarian_Support_and_Services,0.6007
2022_Western_Africa_Annual_Achievements,9,Resilience_programming,0.5999
2022_Western_Africa_Annual_Achievements,10,Monitoring_evaluation_and_learning,0.5657
2023_A_Year_in_Review_For_WFP_Operations_across_th,1,Food_Assistance_for_Assets,0.6329
2023_A_Year_in_Review_For_WFP_Operations_across_th,2,Partnerships,0.5989
2023_A_Year_in_Review_For_WFP_Operations_across_th,3,The_R4_Rural_Resilience_Initiative,0.5966
2023_A_Year_in_Review_For_WFP_Operations_across_th,4,Country_strategic_planning,0.5449
2023_A_Year_in_Review_For_WFP_Operations_across_th,5,Food_Assistance,0.5393
2023_A_Year_in_Review_For_WFP_Operations_across_th,6,Resilience_building,0.5318
2023_A_Year_in_Review_For_WFP_Operations_across_th,7,Humanitarian_Support_and_Services,0.5252
2023_A_Year_in_Review_For_WFP_Operations_across_th,8,Emergency_Preparedness_and_Response,0.5163
2023_A_Year_in_Review_For_WFP_Operations_across_th,9,Food_security_analysis,0.513
2023_A_Year_in_Review_For_WFP_Operations_across_th,10,Sustainable_livelihoods_and_ecosystems,0.5094
2023_Addressing_Irregular_Migration_through_Princi,1,Migration,0.713
2023_Addressing_Irregular_Migration_through_Princi,2,Food_security_analysis,0.6581
2023_Addressing_Irregular_Migration_through_Princi,3,Energy_for_food_security,0.5621
2023_Addressing_Irregular_Migration_through_Princi,4,Food_safety_and_quality,0.5526
2023_Addressing_Irregular_Migration_through_Princi,5,Food_Assistance,0.5332
2023_Addressing_Irregular_Migration_through_Princi,6,Food_systems,0.5244
2023_Addressing_Irregular_Migration_through_Princi,7,Humanitarian_Support_and_Services,0.523
2023_Addressing_Irregular_Migration_through_Princi,8,Climate_change_adaptation,0.5174
2023_Addressing_Irregular_Migration_through_Princi,9,Nutrition,0.5167
2023_Addressing_Irregular_Migration_through_Princi,10,Food_Security_Cluster,0.5132
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,1,The_R4_Rural_Resilience_Initiative,0.6813
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,2,Partnerships,0.5714
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,3,Food_Assistance_for_Assets,0.5195
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,4,Resilience_building,0.5155
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,5,Climate_risk_management_insurance_and_financing,0.5115
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,6,Sustainable_development_goals,0.474
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,7,Smallholder_agricultural_market_support,0.4644
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,8,UN_agencies_and_international_institutions,0.4576
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,9,Climate_change_adaptation,0.4489
2023_Climate_Risk_Insurance_A_key_tool_for_buildin,10,Humanitarian_Support_and_Services,0.445
2023_Conflict_Sensitivity_Mainstreaming_Strategy,1,Conflicts,0.657
2023_Conflict_Sensitivity_Mainstreaming_Strategy,2,Partnerships,0.6261
2023_Conflict_Sensitivity_Mainstreaming_Strategy,3,Humanitarian_Support_and_Services,0.6187
2023_Conflict_Sensitivity_Mainstreaming_Strategy,4,Procurement,0.6183
2023_Conflict_Sensitivity_Mainstreaming_Strategy,5,Country_Capacity_Strengthening,0.6106
2023_Conflict_Sensitivity_Mainstreaming_Strategy,6,Funding_and_donors,0.6039
2023_Conflict_Sensitivity_Mainstreaming_Strategy,7,Resilience_programming,0.5531
2023_Conflict_Sensitivity_Mainstreaming_Strategy,8,Supply_chain,0.5504
2023_Conflict_Sensitivity_Mainstreaming_Strategy,9,Analyses_and_assessments,0.5501
2023_Conflict_Sensitivity_Mainstreaming_Strategy,10,Food_security_analysis,0.5439
2023_HIV_year_in_review,1,Food_Assistance_for_Assets,0.4821
2023_HIV_year_in_review,2,HIV_and_tuberculosis,0.4735
2023_HIV_year_in_review,3,Food_Assistance,0.4459
2023_HIV_year_in_review,4,Food_security_analysis,0.4382
2023_HIV_year_in_review,5,Emergency_Preparedness_and_Response,0.435
2023_HIV_year_in_review,6,Humanitarian_Support_and_Services,0.4332
2023_HIV_year_in_review,7,Nutrition,0.4318
2023_HIV_year_in_review,8,The_R4_Rural_Resilience_Initiative,0.4241
2023_HIV_year_in_review,9,Food_fortification,0.4229
2023_HIV_year_in_review,10,Energy_for_food_security,0.4095
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,1,Food_security_analysis,0.6339
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,2,Food_Assistance,0.5898
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,3,Food_Assistance_for_Assets,0.5803
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,4,Energy_for_food_security,0.5526
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,5,Food_safety_and_quality,0.5306
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,6,Nutrition,0.5198
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,7,Country_Capacity_Strengthening,0.5153
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,8,Social_Protection_and_Safety_Nets,0.4991
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,9,The_R4_Rural_Resilience_Initiative,0.4965
2023_Kyrgyz_Republic_Strategic_Outcome_1_Enhanced_,10,In_kind_food_distribution,0.4694
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,1,Climate_risk_management_insurance_and_financing,0.5202
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,2,Nutrition,0.485
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,3,Partnerships,0.4739
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,4,Food_systems,0.4453
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,5,Food_Assistance,0.4395
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,6,Supply_chain,0.4338
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,7,Logistics_and_delivery_networks,0.4234
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,8,Specialized_nutritious_food,0.4211
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,9,Energy_for_food_security,0.42
2023_Kyrgyz_Republic_Strategic_Outcome_3_Strengthe,10,The_R4_Rural_Resilience_Initiative,0.4169
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,1,Humanitarian_Support_and_Services,0.6816
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,2,Emergency_Preparedness_and_Response,0.6204
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,3,Procurement,0.6006
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,4,Resilience_building,0.5832
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,5,The_R4_Rural_Resilience_Initiative,0.5575
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,6,Food_Assistance,0.5525
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,7,Gender_equality,0.5503
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,8,Zero_Hunger,0.5334
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,9,Food_security_analysis,0.5241
2023_Operationalising_the_HDP_Nexus_in_WFP_Western,10,Smallholder_agricultural_market_support,0.523
2023_Procurement_Infographic,1,Logistics_and_delivery_networks,0.4281
2023_Procurement_Infographic,2,Information_Technology_and_Telecommunications_in_Emergencies,0.3888
2023_Procurement_Infographic,3,Engineering_services,0.3514
2023_Procurement_Infographic,4,Centre_of_Excellence,0.34
2023_Procurement_Infographic,5,Food_safety_and_quality,0.3368
2023_Procurement_Infographic,6,Supply_chain,0.31
2023_Procurement_Infographic,7,Corporate_strategy,0.3064
2023_Procurement_Infographic,8,Private_sector,0.3016
2023_Procurement_Infographic,9,Food_systems,0.3005
2023_Procurement_Infographic,10,Emergency_Preparedness_and_Response,0.267
2023_R4_Rural_Resilience_Initiative_Factsheet,1,The_R4_Rural_Resilience_Initiative,0.8062
2023_R4_Rural_Resilience_Initiative_Factsheet,2,Gender_equality,0.6578
2023_R4_Rural_Resilience_Initiative_Factsheet,3,Resilience_building,0.5082
2023_R4_Rural_Resilience_Initiative_Factsheet,4,Energy_for_food_security,0.4946
2023_R4_Rural_Resilience_Initiative_Factsheet,5,Climate_risk_management_insurance_and_financing,0.4914
2023_R4_Rural_Resilience_Initiative_Factsheet,6,Food_security_analysis,0.4891
2023_R4_Rural_Resilience_Initiative_Factsheet,7,Food_safety_and_quality,0.483
2023_R4_Rural_Resilience_Initiative_Factsheet,8,Resilience_programming,0.4621
2023_R4_Rural_Resilience_Initiative_Factsheet,9,Food_Assistance,0.4542
2023_R4_Rural_Resilience_Initiative_Factsheet,10,Sustainable_livelihoods_and_ecosystems,0.4539
2023_South_South_and_Triangular_Cooperation_Innova,1,School_meals,0.6415
2023_South_South_and_Triangular_Cooperation_Innova,2,South_South_cooperation,0.6188
2023_South_South_and_Triangular_Cooperation_Innova,3,The_R4_Rural_Resilience_Initiative,0.616
2023_South_South_and_Triangular_Cooperation_Innova,4,Food_security_analysis,0.6042
2023_South_South_and_Triangular_Cooperation_Innova,5,Monitoring,0.596
2023_South_South_and_Triangular_Cooperation_Innova,6,Sustainable_development_goals,0.5877
2023_South_South_and_Triangular_Cooperation_Innova,7,Sustainable_livelihoods_and_ecosystems,0.5798
2023_South_South_and_Triangular_Cooperation_Innova,8,Nutrition,0.5385
2023_South_South_and_Triangular_Cooperation_Innova,9,Seasonal_and_agricultural_monitoring,0.5361
2023_South_South_and_Triangular_Cooperation_Innova,10,Food_safety_and_quality,0.5292
2023_South_South_and_Triangular_Cooperation_policy,1,South_South_cooperation,0.7451
2023_South_South_and_Triangular_Cooperation_policy,2,Country_Capacity_Strengthening,0.6693
2023_South_South_and_Triangular_Cooperation_policy,3,Gender_equality,0.6245
2023_South_South_and_Triangular_Cooperation_policy,4,Partnerships,0.5894
2023_South_South_and_Triangular_Cooperation_policy,5,Sustainable_development_goals,0.5747
2023_South_South_and_Triangular_Cooperation_policy,6,Innovation,0.5665
2023_South_South_and_Triangular_Cooperation_policy,7,Funding_and_donors,0.5509
2023_South_South_and_Triangular_Cooperation_policy,8,School_meals,0.5414
2023_South_South_and_Triangular_Cooperation_policy,9,Emergency_Preparedness_and_Response,0.527
2023_South_South_and_Triangular_Cooperation_policy,10,Rome_based_agencies,0.5186
2023_Testing_the_Acceptability_and_Organoleptic_Qu,1,School_meals,0.6168
2023_Testing_the_Acceptability_and_Organoleptic_Qu,2,Nutrition,0.6016
2023_Testing_the_Acceptability_and_Organoleptic_Qu,3,Food_fortification,0.5267
2023_Testing_the_Acceptability_and_Organoleptic_Qu,4,Food_Assistance_for_Assets,0.5108
2023_Testing_the_Acceptability_and_Organoleptic_Qu,5,Smallholder_agricultural_market_support,0.5107
2023_Testing_the_Acceptability_and_Organoleptic_Qu,6,Food_safety_and_quality,0.4975
2023_Testing_the_Acceptability_and_Organoleptic_Qu,7,Food_security_analysis,0.4928
2023_Testing_the_Acceptability_and_Organoleptic_Qu,8,Specialized_nutritious_food,0.4748
2023_Testing_the_Acceptability_and_Organoleptic_Qu,9,Food_systems,0.4678
2023_Testing_the_Acceptability_and_Organoleptic_Qu,10,Food_Assistance,0.459
2023_WFP_Engineering_two_pager,1,Humanitarian_Support_and_Services,0.4802
2023_WFP_Engineering_two_pager,2,Emergency_Preparedness_and_Response,0.4323
2023_WFP_Engineering_two_pager,3,UN_Humanitarian_Air_Service,0.409
2023_WFP_Engineering_two_pager,4,Emergencies,0.4046
2023_WFP_Engineering_two_pager,5,Engineering_services,0.3941
2023_WFP_Engineering_two_pager,6,Food_safety_and_quality,0.3795
2023_WFP_Engineering_two_pager,7,The_R4_Rural_Resilience_Initiative,0.3649
2023_WFP_Engineering_two_pager,8,Partnerships,0.3621
2023_WFP_Engineering_two_pager,9,Rome_based_agencies,0.361
2023_WFP_Engineering_two_pager,10,Energy_for_food_security,0.3608
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,1,The_R4_Rural_Resilience_Initiative,0.7433
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,2,Nutrition,0.6912
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,3,Emergency_Preparedness_and_Response,0.6881
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,4,Food_security_analysis,0.6838
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,5,Resilience_programming,0.6816
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,6,Partnerships,0.6468
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,7,Resilience_building,0.6439
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,8,Private_sector,0.6265
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,9,Humanitarian_Support_and_Services,0.6185
2023_WFP_Urban_Strategy_Achieving_zero_hunger_in_a,10,Smallholder_agricultural_market_support,0.618
2024_A_Year_in_Review_Pathways_to_Change,1,Resilience_building,0.6734
2024_A_Year_in_Review_Pathways_to_Change,2,Humanitarian_Support_and_Services,0.5949
2024_A_Year_in_Review_Pathways_to_Change,3,Social_Protection_and_Safety_Nets,0.5891
2024_A_Year_in_Review_Pathways_to_Change,4,Emergency_Preparedness_and_Response,0.5677
2024_A_Year_in_Review_Pathways_to_Change,5,The_R4_Rural_Resilience_Initiative,0.5656
2024_A_Year_in_Review_Pathways_to_Change,6,Resilience_programming,0.5338
2024_A_Year_in_Review_Pathways_to_Change,7,UN_Humanitarian_Air_Service,0.4972
2024_A_Year_in_Review_Pathways_to_Change,8,Emergencies,0.4933
2024_A_Year_in_Review_Pathways_to_Change,9,UN_agencies_and_international_institutions,0.4857
2024_A_Year_in_Review_Pathways_to_Change,10,In_kind_food_distribution,0.4792
2024_Anticipatory_Cash_Technical_Guidance,1,Anticipatory_Action,0.6145
2024_Anticipatory_Cash_Technical_Guidance,2,Emergency_Preparedness_and_Response,0.6125
2024_Anticipatory_Cash_Technical_Guidance,3,Cash_transfers,0.6072
2024_Anticipatory_Cash_Technical_Guidance,4,Climate_action,0.5218
2024_Anticipatory_Cash_Technical_Guidance,5,Food_Assistance_for_Assets,0.5133
2024_Anticipatory_Cash_Technical_Guidance,6,Humanitarian_Support_and_Services,0.5084
2024_Anticipatory_Cash_Technical_Guidance,7,Climate_change_adaptation,0.4939
2024_Anticipatory_Cash_Technical_Guidance,8,Emergency_relief,0.4887
2024_Anticipatory_Cash_Technical_Guidance,9,The_R4_Rural_Resilience_Initiative,0.4858
2024_Anticipatory_Cash_Technical_Guidance,10,Local_market_developments,0.4743
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,1,Emergency_Preparedness_and_Response,0.6481
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,2,The_R4_Rural_Resilience_Initiative,0.5781
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,3,Resilience_building,0.5735
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,4,Seasonal_and_agricultural_monitoring,0.5622
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,5,Food_security_analysis,0.5413
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,6,Climate_risk_management_insurance_and_financing,0.5397
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,7,Nutrition,0.5287
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,8,Sustainable_livelihoods_and_ecosystems,0.5235
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,9,Climate_change_adaptation,0.5111
2024_Climatic_Disaster_Risk_Assessment_in_Cambodia,10,Food_Assistance_for_Assets,0.5076
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,1,Emergency_Preparedness_and_Response,0.688
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,2,Humanitarian_Support_and_Services,0.545
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,3,Zero_Hunger,0.5222
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,4,Emergencies,0.5078
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,5,Emergency_relief,0.4981
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,6,The_R4_Rural_Resilience_Initiative,0.4969
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,7,Analyses_and_assessments,0.4821
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,8,Supply_chain,0.4647
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,9,Energy_for_food_security,0.461
2024_Humanitarian_Simulation_Exercise_SimEx_Techni,10,UN_Humanitarian_Air_Service,0.4551
2024_Innovative_Solutions_to_Climate_Change_Adapta,1,Partnerships,0.6368
2024_Innovative_Solutions_to_Climate_Change_Adapta,2,Social_Protection_and_Safety_Nets,0.5867
2024_Innovative_Solutions_to_Climate_Change_Adapta,3,Resilience_programming,0.5837
2024_Innovative_Solutions_to_Climate_Change_Adapta,4,Monitoring,0.5521
2024_Innovative_Solutions_to_Climate_Change_Adapta,5,The_R4_Rural_Resilience_Initiative,0.5502
2024_Innovative_Solutions_to_Climate_Change_Adapta,6,Humanitarian_Support_and_Services,0.5454
2024_Innovative_Solutions_to_Climate_Change_Adapta,7,Resilience_building,0.527
2024_Innovative_Solutions_to_Climate_Change_Adapta,8,Sustainable_livelihoods_and_ecosystems,0.5049
2024_Innovative_Solutions_to_Climate_Change_Adapta,9,Gender_equality,0.4974
2024_Innovative_Solutions_to_Climate_Change_Adapta,10,Food_Assistance,0.4939
2024_Maximizing_impact_the_intersection_of_social_,1,Resilience_building,0.7931
2024_Maximizing_impact_the_intersection_of_social_,2,Resilience_programming,0.7372
2024_Maximizing_impact_the_intersection_of_social_,3,The_R4_Rural_Resilience_Initiative,0.6972
2024_Maximizing_impact_the_intersection_of_social_,4,Social_Protection_and_Safety_Nets,0.6896
2024_Maximizing_impact_the_intersection_of_social_,5,Food_systems,0.6822
2024_Maximizing_impact_the_intersection_of_social_,6,Sustainable_livelihoods_and_ecosystems,0.5898
2024_Maximizing_impact_the_intersection_of_social_,7,Energy_for_food_security,0.5818
2024_Maximizing_impact_the_intersection_of_social_,8,Sustainable_development_goals,0.5797
2024_Maximizing_impact_the_intersection_of_social_,9,Food_security_analysis,0.5795
2024_Maximizing_impact_the_intersection_of_social_,10,UN_agencies_and_international_institutions,0.5408
2024_Mid_Year_Overview_Egypt_Country_Office,1,Food_Assistance_for_Assets,0.4081
2024_Mid_Year_Overview_Egypt_Country_Office,2,Food_Assistance,0.387
2024_Mid_Year_Overview_Egypt_Country_Office,3,Humanitarian_Support_and_Services,0.3598
2024_Mid_Year_Overview_Egypt_Country_Office,4,Funding_and_donors,0.3355
2024_Mid_Year_Overview_Egypt_Country_Office,5,Smallholder_agricultural_market_support,0.2802
2024_Mid_Year_Overview_Egypt_Country_Office,6,Gender_equality,0.2731
2024_Mid_Year_Overview_Egypt_Country_Office,7,Cash_transfers,0.2694
2024_Mid_Year_Overview_Egypt_Country_Office,8,UN_Humanitarian_Air_Service,0.2549
2024_Mid_Year_Overview_Egypt_Country_Office,9,Partnerships,0.254
2024_Mid_Year_Overview_Egypt_Country_Office,10,The_R4_Rural_Resilience_Initiative,0.2522
2024_Procurement_Infographics,1,Smallholder_agricultural_market_support,0.4694
2024_Procurement_Infographics,2,Logistics_and_delivery_networks,0.4354
2024_Procurement_Infographics,3,Supply_chain,0.4302
2024_Procurement_Infographics,4,Local_market_developments,0.4212
