report_id,final_tags
2025_Gender_Protection_and_Inclusion_in_Anticipato,"['Anticipatory_Action', 'Climate_action', 'Resilience_programming', 'The_R4_Rural_Resilience_Initiative', 'Social_Protection_and_Safety_Nets', 'Sustainable_livelihoods_and_ecosystems', 'Climate_change_adaptation', 'Food_safety_and_quality', 'Resilience_building', 'Food_security_analysis']"
2025_Midyear_Update_Say_No_to_5S_Project_School_Fe,"['Monitoring', 'Programme_design', 'School_meals', 'Sustainable_development_goals', 'Food_Assistance', 'Food_security_analysis', 'Food_fortification', 'Food_safety_and_quality', 'In_kind_food_distribution']"
2025_People_s_experience_of_Anticipatory_Action,"['Partnerships', 'Analyses_and_assessments', 'Climate_action', 'Anticipatory_Action', 'Food_Assistance', 'Smallholder_agricultural_market_support', 'Food_security_analysis', 'Food_Assistance_for_Assets', 'Cash_transfers', 'School_meals']"
2025_Saving_lives_time_and_money_Evidence_from_ant,"['Anticipatory_Action', 'Emergency_Preparedness_and_Response', 'Humanitarian_Support_and_Services', 'Food_Security_Cluster', 'Food_Assistance', 'Food_Assistance_for_Assets', 'Food_security_analysis']"
A_lifeline_at_risk_food_assistance_at_a_breaking_p,"['Resilience_programming', 'Food_security_analysis', 'Funding_and_donors', 'Local_market_developments', 'Humanitarian_Support_and_Services', 'Resilience_building', 'Food_Assistance', 'Food_Assistance_for_Assets', 'The_R4_Rural_Resilience_Initiative', 'Nutrition']"
A_quick_glance_at_the_costed_implementation_plan_f,"['Partnerships', 'Country_strategic_planning', 'South_South_cooperation', 'Funding_and_donors', 'Sustainable_development_goals', 'Country_Capacity_Strengthening', 'Food_Assistance_for_Assets', 'Local_market_developments', 'Smallholder_agricultural_market_support']"
A_world_of_WFP_FITTEST_2019,[]
After_Action_Review_Leveraging_4Ps_Programme_for_E,"['Emergencies', 'Emergency_Preparedness_and_Response', 'Sustainable_livelihoods_and_ecosystems', 'Emergency_relief', 'Humanitarian_Support_and_Services', 'Resilience_building', 'The_R4_Rural_Resilience_Initiative', 'Food_Assistance_for_Assets', 'Cash_transfers', 'Food_Assistance']"
Annual_Country_Reports_Cameroon,"['Nutrition', 'Emergency_Preparedness_and_Response', 'Food_safety_and_quality', 'Emergencies', 'Sustainable_livelihoods_and_ecosystems', 'Food_security_analysis', 'Food_Security_Cluster', 'Emergency_relief', 'The_R4_Rural_Resilience_Initiative']"
Annual_Evaluation_Report_2024,"['Country_Capacity_Strengthening', 'Emergency_Preparedness_and_Response', 'Food_security_analysis', 'Environmental_and_social_sustainability', 'Food_Assistance', 'UN_Humanitarian_Air_Service', 'Humanitarian_Support_and_Services', 'Food_safety_and_quality', 'Food_Assistance_for_Assets', 'School_meals']"
Annual_Performance_Report,"['Information_Technology_and_Telecommunications_in_Emergencies', 'Emergency_Preparedness_and_Response', 'Funding_and_donors', 'Food_security_analysis', 'Food_Security_Cluster', 'Environmental_and_social_sustainability', 'Nutrition', 'Food_Assistance_for_Assets', 'School_meals', 'Sustainable_development_goals']"
Annual_Report_2021_WFP_Centre_of_Excellence_agains,"['Funding_and_donors', 'Centre_of_Excellence', 'Food_Assistance', 'Food_systems', 'School_meals', 'Partnerships', 'Humanitarian_Support_and_Services', 'South_South_cooperation', 'Food_security_analysis', 'Nutrition']"
Annual_Report_2022_WFP_Centre_of_Excellence_agains,"['Partnerships', 'Country_strategic_planning', 'Humanitarian_Support_and_Services', 'Nutrition', 'Centre_of_Excellence', 'Smallholder_agricultural_market_support', 'School_meals', 'Sustainable_development_goals', 'South_South_cooperation', 'Food_security_analysis']"
Annual_Report_2023_Centre_of_Excellence_Against_Hu,"['Partnerships', 'Nutrition', 'Smallholder_agricultural_market_support', 'Food_security_analysis', 'Sustainable_development_goals', 'Supply_chain', 'Food_systems', 'School_meals', 'Centre_of_Excellence']"
Annual_Report_2024_WFP_Centre_of_Excellence_agains,"['UN_agencies_and_international_institutions', 'Food_Assistance', 'Food_security_analysis', 'Specialized_nutritious_food', 'Smallholder_agricultural_market_support', 'Food_systems', 'School_meals', 'Centre_of_Excellence', 'Partnerships', 'Nutrition']"
Annual_Report_Strategic_Advisory_Panel_on_Impact_E,"['Procurement', 'The_R4_Rural_Resilience_Initiative', 'Food_Assistance_for_Assets', 'Sustainable_livelihoods_and_ecosystems', 'Partnerships', 'Resilience_programming', 'Resilience_building', 'Food_security_analysis', 'Gender_equality']"
Annual_country_reports_-_Algeria_-_2020_DZ02,"['The_R4_Rural_Resilience_Initiative', 'Humanitarian_Support_and_Services', 'Food_Assistance', 'Food_Assistance_for_Assets', 'Food_security_analysis', 'Energy_for_food_security', 'Food_fortification', 'Funding_and_donors', 'In_kind_food_distribution', 'Food_Security_Cluster']"
Annual_country_reports_-_Algeria_-_2023_DZ02,"['Country_strategic_planning', 'Humanitarian_Support_and_Services', 'Food_Assistance_for_Assets', 'Food_security_analysis', 'Nutrition', 'Energy_for_food_security', 'Food_Assistance', 'Funding_and_donors', 'School_meals', 'Food_fortification']"
Annual_country_reports_-_Armenia_-_2023_AM02,[]
Annual_country_reports_-_Armenia_-_2024_AM02,"['Humanitarian_Support_and_Services', 'Country_Capacity_Strengthening', 'Funding_and_donors', 'Food_Assistance', 'Food_Assistance_for_Assets', 'Food_security_analysis', 'Food_fortification', 'Energy_for_food_security', 'School_meals', 'Food_safety_and_quality']"
Annual_country_reports_-_Benin_-_2023_BJ02,"['Funding_and_donors', 'Humanitarian_Support_and_Services', 'Climate_change_adaptation', 'Food_Assistance_for_Assets', 'Energy_for_food_security', 'Country_Capacity_Strengthening', 'Food_security_analysis', 'The_R4_Rural_Resilience_Initiative', 'Nutrition', 'School_meals']"
Annual_country_reports_-_Benin_-_2024_BJ03,"['Food_Assistance_for_Assets', 'Social_Protection_and_Safety_Nets', 'Food_Assistance', 'Food_fortification']"
Annual_country_reports_-_Bolivia_Plurinational_State_of_-_2023_BO03,"['Emergencies', 'Funding_and_donors', 'The_R4_Rural_Resilience_Initiative', 'Sustainable_livelihoods_and_ecosystems', 'Country_Capacity_Strengthening', 'Food_Assistance_for_Assets', 'Food_Security_Cluster', 'Smallholder_agricultural_market_support', 'Food_security_analysis', 'Energy_for_food_security']"
Annual_country_reports_-_Bolivia_Plurinational_State_of_-_2024_BO03,"['Sustainable_livelihoods_and_ecosystems', 'Food_security_analysis', 'Smallholder_agricultural_market_support', 'Food_Security_Cluster', 'Cash_transfers', 'The_R4_Rural_Resilience_Initiative', 'Country_Capacity_Strengthening', 'In_kind_food_distribution', 'Food_Assistance_for_Assets', 'Energy_for_food_security']"
Annual_country_reports_-_Burkina_Faso_-_2023_BF02,"['Country_Capacity_Strengthening', 'Smallholder_agricultural_market_support', 'Humanitarian_Support_and_Services', 'The_R4_Rural_Resilience_Initiative', 'Food_Assistance_for_Assets', 'Food_Assistance', 'Food_security_analysis', 'School_meals']"
Annual_country_reports_-_Burkina_Faso_-_2024_BF02,"['Funding_and_donors', 'Sustainable_livelihoods_and_ecosystems', 'Humanitarian_Support_and_Services', 'Smallholder_agricultural_market_support', 'Food_Assistance_for_Assets', 'UN_Humanitarian_Air_Service', 'Food_fortification', 'The_R4_Rural_Resilience_Initiative', 'School_meals', 'Resilience_building']"
Annual_country_reports_-_Burundi_-_2023_BI02,"['Humanitarian_Support_and_Services', 'Food_security_analysis', 'Food_Assistance_for_Assets', 'Funding_and_donors', 'Food_Assistance', 'Smallholder_agricultural_market_support', 'Nutrition', 'Food_fortification', 'Energy_for_food_security', 'School_meals']"
Annual_country_reports_-_Burundi_-_2024_BI03,"['Humanitarian_Support_and_Services', 'Food_Assistance', 'Funding_and_donors', 'Nutrition', 'Food_security_analysis', 'Food_Assistance_for_Assets', 'The_R4_Rural_Resilience_Initiative', 'Country_Capacity_Strengthening', 'Smallholder_agricultural_market_support', 'Energy_for_food_security']"
Annual_country_reports_-_Central_African_Republic_-_2023_CF01,"['Humanitarian_Support_and_Services', 'Funding_and_donors', 'The_R4_Rural_Resilience_Initiative', 'Food_Assistance_for_Assets', 'Gender_equality', 'Energy_for_food_security', 'Smallholder_agricultural_market_support', 'Resilience_building', 'UN_Humanitarian_Air_Service', 'Food_security_analysis']"
Annual_country_reports_-_Central_African_Republic_-_2024_CF02,"['Country_strategic_planning', 'Country_Capacity_Strengthening', 'Nutrition', 'Food_Assistance_for_Assets', 'Sustainable_livelihoods_and_ecosystems', 'Food_Assistance', 'Smallholder_agricultural_market_support', 'Food_safety_and_quality', 'School_meals', 'Food_fortification']"
Annual_country_reports_-_Chad_-_2024_TD01,"['Funding_and_donors', 'Emergencies', 'Smallholder_agricultural_market_support']"
Annual_country_reports_-_Chad_-_2024_TD02,"['The_R4_Rural_Resilience_Initiative', 'Sustainable_livelihoods_and_ecosystems', 'Funding_and_donors', 'Humanitarian_Support_and_Services', 'Country_strategic_planning', 'Food_fortification', 'Food_security_analysis', 'Food_Assistance_for_Assets', 'School_meals', 'UN_Humanitarian_Air_Service']"
Annual_country_reports_-_China_-_2023_CN02,"['Resilience_building', 'Food_security_analysis', 'Energy_for_food_security', 'Sustainable_development_goals', 'Food_safety_and_quality', 'Partnerships', 'Supply_chain', 'School_meals', 'The_R4_Rural_Resilience_Initiative', 'Nutrition']"
Annual_country_reports_-_China_-_2024_CN02,"['Funding_and_donors', 'Nutrition', 'Partnerships', 'Food_Assistance', 'Specialized_nutritious_food', 'Country_Capacity_Strengthening', 'Resilience_building', 'School_meals', 'The_R4_Rural_Resilience_Initiative', 'UN_agencies_and_international_institutions']"
Annual_country_reports_-_Côte_dIvoire_-_2023_CI02,"['Nutrition', 'Food_Assistance', 'The_R4_Rural_Resilience_Initiative', 'Logistics_and_delivery_networks', 'Food_Assistance_for_Assets', 'School_meals', 'Food_security_analysis', 'Gender_equality', 'Smallholder_agricultural_market_support', 'Energy_for_food_security']"
Annual_country_reports_-_Côte_dIvoire_-_2024_CI02,"['Sustainable_livelihoods_and_ecosystems', 'Funding_and_donors', 'Food_Assistance_for_Assets', 'Smallholder_agricultural_market_support', 'Nutrition', 'Food_Assistance', 'Food_fortification', 'Energy_for_food_security', 'Food_security_analysis', 'School_meals']"
Annual_country_reports_-_Mauritania_-_2024_MR02,"['Sustainable_livelihoods_and_ecosystems', 'The_R4_Rural_Resilience_Initiative', 'Humanitarian_Support_and_Services', 'Anticipatory_Action', 'Food_Assistance', 'School_meals', 'Food_Assistance_for_Assets', 'Resilience_programming', 'UN_Humanitarian_Air_Service']"
Annual_country_reports_-_Mauritania_-_2024_MR03,"['Humanitarian_Support_and_Services', 'Food_Assistance_for_Assets', 'Funding_and_donors', 'Sustainable_livelihoods_and_ecosystems', 'Food_fortification', 'Nutrition', 'Resilience_programming', 'The_R4_Rural_Resilience_Initiative', 'Resilience_building']"
Annual_country_reports_-_Nicaragua_-_2024_NI02,"['Smallholder_agricultural_market_support', 'The_R4_Rural_Resilience_Initiative', 'Humanitarian_Support_and_Services', 'Emergency_Preparedness_and_Response']"
Annual_country_reports_-_Nicaragua_-_2024_NI02-checkpoint,"['Smallholder_agricultural_market_support', 'The_R4_Rural_Resilience_Initiative', 'Humanitarian_Support_and_Services', 'Emergency_Preparedness_and_Response']"
Annual_country_reports_-_Nicaragua_-_2024_NI03,"['Sustainable_livelihoods_and_ecosystems', 'Emergency_Preparedness_and_Response', 'Humanitarian_Support_and_Services', 'Food_Assistance_for_Assets', 'Smallholder_agricultural_market_support', 'Emergency_relief', 'School_meals', 'Food_security_analysis', 'Energy_for_food_security', 'The_R4_Rural_Resilience_Initiative']"
Annual_country_reports_-_Nigeria_-_2023_NG01,"['Humanitarian_Support_and_Services', 'Food_Assistance', 'Food_Assistance_for_Assets', 'Sustainable_livelihoods_and_ecosystems', 'Funding_and_donors', 'Food_Security_Cluster', 'Food_security_analysis', 'Energy_for_food_security', 'UN_Humanitarian_Air_Service', 'Sustainable_development_goals']"
Annual_country_reports_-_Nigeria_-_2024_NG02,"['Emergency_Preparedness_and_Response', 'Food_Assistance_for_Assets', 'Smallholder_agricultural_market_support', 'Funding_and_donors', 'Humanitarian_Support_and_Services', 'The_R4_Rural_Resilience_Initiative', 'Emergency_relief', 'Nutrition', 'Food_Assistance', 'Food_security_analysis']"
Annual_country_reports_-_Rwanda_-_2023_RW01,"['The_R4_Rural_Resilience_Initiative', 'Humanitarian_Support_and_Services', 'Country_Capacity_Strengthening']"
Annual_country_reports_-_Rwanda_-_2024_RW01,"['Food_Assistance_for_Assets', 'Food_Assistance', 'Nutrition', 'Specialized_nutritious_food', 'Food_fortification', 'Humanitarian_Support_and_Services', 'Funding_and_donors', 'Food_security_analysis', 'Smallholder_agricultural_market_support', 'Energy_for_food_security']"
Annual_country_reports_-_Sao_Tome_and_Principe_-_2023_ST02,"['Environmental_and_social_sustainability', 'Funding_and_donors', 'South_South_cooperation', 'Country_strategic_planning', 'Country_Capacity_Strengthening', 'Food_security_analysis', 'Food_Assistance_for_Assets', 'School_meals', 'Food_Assistance', 'Energy_for_food_security']"
Annual_country_reports_-_Sao_Tome_and_Principe_-_2024_ST03,"['Emergency_Preparedness_and_Response', 'Smallholder_agricultural_market_support', 'Food_Assistance', 'Funding_and_donors', 'Food_security_analysis', 'Food_Assistance_for_Assets', 'Humanitarian_Support_and_Services', 'Sustainable_development_goals', 'School_meals', 'Energy_for_food_security']"
Annual_country_reports_-_Senegal_-_2023_SN02,"['Sustainable_livelihoods_and_ecosystems', 'Funding_and_donors', 'Specialized_nutritious_food', 'Nutrition', 'Food_security_analysis', 'Food_Assistance', 'Seasonal_and_agricultural_monitoring', 'The_R4_Rural_Resilience_Initiative', 'Food_Assistance_for_Assets', 'Energy_for_food_security']"
Annual_country_reports_-_Senegal_-_2024_SN02,"['Food_Assistance', 'Food_fortification', 'Nutrition', 'Funding_and_donors', 'Food_security_analysis', 'Gender_equality', 'Energy_for_food_security', 'Resilience_building', 'The_R4_Rural_Resilience_Initiative', 'Food_Assistance_for_Assets']"
Annual_country_reports_-_Sierra_Leone_-_2023_SL02,"['The_R4_Rural_Resilience_Initiative', 'Food_safety_and_quality', 'Food_security_analysis', 'Food_Assistance', 'Food_Security_Cluster', 'Food_Assistance_for_Assets', 'Smallholder_agricultural_market_support', 'Energy_for_food_security', 'School_meals', 'Resilience_building']"
Annual_country_reports_-_Sierra_Leone_-_2024_SL02,"['Sustainable_livelihoods_and_ecosystems', 'Food_security_analysis', 'Nutrition', 'Energy_for_food_security', 'The_R4_Rural_Resilience_Initiative', 'Smallholder_agricultural_market_support', 'Food_Assistance_for_Assets', 'Food_Assistance', 'Funding_and_donors', 'School_meals']"
Anticipatory_Cash_Transfers_and_Early_Warning_Info,"['Anticipatory_Action', 'Emergency_Preparedness_and_Response', 'Cash_transfers', 'Food_security_analysis', 'Food_safety_and_quality', 'Partnerships', 'Climate_action', 'Food_Security_Cluster', 'Energy_for_food_security', 'Seasonal_and_agricultural_monitoring']"
April_2022_Ukraine_Conflict_Addressing_Acute_Needs,"['Humanitarian_Support_and_Services', 'Food_Assistance_for_Assets', 'Emergencies', 'Food_security_analysis', 'Food_Assistance', 'Food_safety_and_quality', 'Conflicts', 'Energy_for_food_security', 'Cash_transfers', 'Gender_equality']"
Armenia_Evaluation_of_School_Feeding_Modalities_Ap,"['Gender_equality', 'Food_Assistance', 'Nutrition', 'Environmental_and_social_sustainability', 'Country_Capacity_Strengthening', 'Food_security_analysis', 'School_meals', 'Smallholder_agricultural_market_support', 'Cash_transfers']"
Assessment_of_Rice_Fortification_Scheme_in_Malkang,"['Analyses_and_assessments', 'Food_Assistance', 'Environmental_and_social_sustainability', 'Food_Assistance_for_Assets', 'Food_systems', 'Food_fortification', 'Food_security_analysis', 'Nutrition', 'Supply_chain', 'School_meals']"
Assistance_to_Refugees_and_Crisis_Affected_Populat,"['Funding_and_donors', 'Emergency_Preparedness_and_Response', 'Food_Assistance', 'Food_safety_and_quality', 'Food_Assistance_for_Assets', 'Humanitarian_Support_and_Services', 'Energy_for_food_security', 'Emergency_relief', 'Food_security_analysis', 'UN_Humanitarian_Air_Service']"
Audited_Annual_Accounts,"['Analyses_and_assessments', 'Procurement', 'Funding_and_donors', 'Executive_Board', 'Corporate_strategy', 'Partnerships', 'Humanitarian_Support_and_Services', 'Smallholder_agricultural_market_support', 'Cash_transfers', 'Sustainable_development_goals']"
